dataset,model,accuracy,accuracy,precision,precision,recall,recall
,,mean,std,mean,std,mean,std
census,decision tree,0.539,0.003,0.520,0.002,1.000,0.000
census,neural network,0.985,0.022,0.999,0.001,0.972,0.044
census,random forest,0.988,0.003,0.976,0.005,1.000,0.000
census categorical,decision tree,0.513,0.002,0.507,0.001,1.000,0.000
census categorical,neural network,0.996,0.002,0.992,0.003,1.000,0.000
census categorical,random forest,1.000,0.000,1.000,0.000,1.000,0.000
census numeric,decision tree,0.528,0.004,0.515,0.002,1.000,0.000
census numeric,neural network,0.984,0.003,0.970,0.005,1.000,0.000
census numeric,random forest,0.966,0.003,0.938,0.006,0.999,0.003
heart,decision tree,0.510,0.005,0.507,0.003,1.000,0.000
heart,neural network,1.000,0.000,1.000,0.000,1.000,0.000
heart,random forest,1.000,0.000,1.000,0.000,1.000,0.000
heart categorical,decision tree,0.509,0.004,0.506,0.002,1.000,0.000
heart categorical,neural network,0.998,0.003,0.996,0.006,1.000,0.000
heart categorical,random forest,1.000,0.000,1.000,0.000,1.000,0.000
heart numeric,decision tree,0.533,0.012,0.519,0.007,1.000,0.000
heart numeric,neural network,1.000,0.000,1.000,0.000,1.000,0.000
heart numeric,random forest,1.000,0.000,1.000,0.000,1.000,0.000
